image_id,human_cov,pred_cov
NLB_442858182EDR_F0250510NCAM00283M1,0.0,0.0
NLB_547088762EDR_F0623188NCAM07753M1,85.28050046227581,85.6790140949844
NLB_617135669EDR_F0762360NCAM00207M1,0.0,0.0
NLB_502692998EDR_F0511616NCAM00263M1,11.947299849766546,4.283419670816269
NLB_501718062EDR_F0511048NCAM00386M1,81.88022934805691,80.84635803779996
NLB_485383923EDR_F0480680NCAM00266M1,16.427628377746537,21.75372584323801
NLB_499420031EDR_F0501116NCAM00354M1,100.0,100.0
NLB_437717073EDR_F0220484NCAM00354M1,0.824026978886448,0.0
NLB_442854832EDR_F0250384NCAM00470M1,0.0,0.0
NLB_460527049EDR_F0400480NCAM00258M1,0.11500606714304974,1.079951462855602
NLB_478720533EDR_F0450450NCAM00322M1,64.99091306835392,64.44413460197796
NLB_519838077EDR_F0550310NCAM00654M1,96.69055972503668,99.64131146082464
NLB_430607588EDR_F0140000NCAM00207M1,0.0,0.0
NLB_613141241EDR_F0760000NCAM00278M1,0.0,0.0
NLB_444194957EDR_F0251586NCAM00470M1,0.0,0.0
NLB_481743729EDR_F0451276NCAM07753M1,99.99217168610699,65.48440488039454
NLB_454664617EDR_F0331002NCAM00380M1,0.0,0.0
NLB_450501690EDR_F0310724NCAM00268M1,29.5287412486745,35.560236896581785
NLB_492752186EDR_F0490642NCAM07813M1,0.0,0.0
NLB_537582852EDR_F0600888NCAM00260M1,39.07603416428855,31.390579152133757
NLB_545928874EDR_F0621314NCAM00312M1,78.83321975645165,78.63735811336583
NLB_553032423EDR_F0642238CCAM15903M1,99.85520587380692,99.92540538692751
NLB_519208075EDR_F0542724NCAM00385M1,94.7892805167385,99.0459212108591
NLB_586319243EDR_F0720920NCAM00320M1,100.0,100.0
NLB_550280525EDR_F0633092NCAM00312M1,99.98519329966715,98.6027530832245
NLB_482724831EDR_F0461648NCAM00386M1,0.0,0.0
NLB_564134883EDR_F0670000NCAM00354M1,0.00934514261803473,0.0
NLB_489560743EDR_F0481964NCAM07753M1,0.7462969755998836,0.6927491135088185
NLB_439406869EDR_F0240192NCAM00239M1,0.0,0.0
NLB_500304448EDR_F0502438NCAM00296M1,100.0,24.73598425071334
